Id;SaleDate;Brand;VinCode;StoreId;EmployeeId
1;2022-01-05;Toyota;JTDBL40E79902001;1;1
2;2022-01-15;Ford;1FTRX17L6VNA2002;1;2
3;2022-02-20;BMW;WBA3B3C56FPD3003;2;3
4;2022-03-18;Honda;2HGFA16578H4004;2;4
5;2022-04-22;Audi;WAULC68E84A5005;3;5
6;2022-05-30;Mercedes;WDDGF8AB5DA6006;1;1
7;2022-06-15;Nissan;1N4AL11D75C7007;2;2
8;2022-07-07;Hyundai;KMHDU46DXAU8008;3;3
9;2022-08-20;Kia;KNDJT2A5XB90009;3;4
10;2022-09-10;Volkswagen;3VWB17AJ5HM0010;1;5
11;2022-09-15;Volvo;YV1CZ59H64110011;2;1
12;2022-10-05;Lexus;JTHBJ46G29220012;2;2
13;2022-10-20;Subaru;4S3BL61638730013;3;3
14;2022-11-25;Mazda;JM1BK323X8150014;1;4
15;2022-12-10;Chevrolet;2G1WT58KX9110015;2;5
16;2022-12-15;Toyota;JTDBL40E79902016;3;1
17;2022-12-20;Ford;1FTRX17L6VNA2017;1;2
18;2022-12-25;BMW;WBA3B3C56FPD3018;2;3
19;2022-12-28;Honda;2HGFA16578H4019;2;4
20;2022-12-31;Audi;WAULC68E84A5020;3;5
